X1,X2,X3,X4,X5,X6,X7,X8,X9,y
M,J2,DKZIE,CODEZ20,SP,CLCV,111,XXX,BBB,BBB-CE04
M,J2,DKZIE,CODEZ20,SP,CLCV,111,XXX,DFDF,DFDF-CE02
M,J2,DKZIE,CODEZ20,SP,CLCV,120,XXX,DFDF,DFDF-CE01;DFDF-CE02
M,J2,DKZIE,CODEZ21,SP,CLCP,11,XXX,BBB,BBB-CE01
M,J2,DKZIE,CODEZ21,SP,CLCP,20,XXX,BBB,BBB-CE01
M,J2,DKZIE,CODEZ21,SP,CLCP,26,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ21,SP,CLCP,28,XXX,BBB,BBB-CE01
M,J2,DKZIE,CODEZ21,SP,CLCP,34,XXX,BBB,BBB-CE04
M,J2,DKZIE,CODEZ21,SP,CLCP,37,XXX,BBB,BBB-CE04
M,J2,DKZIE,CODEZ21,SP,CLCP,60,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ21,SP,CLCP,63,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ21,SP,CLCP,68,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ21,SP,CLCP,78,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ21,SP,CLCP,94,XXX,BBB,BBB-CE01;BBB-CE02;BBB-CE04
M,J2,DKZIE,CODEZ21,SP,CLCP,8.5,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ21,SP,CLCP,111,XXX,BBB,BBB-CE04
M,J2,DKZIE,CODEZ22,SP,CLCC,11,XXX,BBB,BBB-CE01
M,J2,DKZIE,CODEZ22,SP,CLCC,20,XXX,BBB,BBB-CE01
M,J2,DKZIE,CODEZ22,SP,CLCC,26,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ22,SP,CLCC,28,XXX,BBB,BBB-CE01
M,J2,DKZIE,CODEZ22,SP,CLCC,34,XXX,BBB,BBB-CE04
M,J2,DKZIE,CODEZ22,SP,CLCC,37,XXX,BBB,BBB-CE04
M,J2,DKZIE,CODEZ22,SP,CLCC,37,XXX,DDDDD,DDDDD-CE01
M,J2,DKZIE,CODEZ22,SP,CLCC,37,XXX,DFDF,DFDF-CE01;DFDF-CE02
M,J2,DKZIE,CODEZ22,SP,CLCC,60,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ22,SP,CLCC,63,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ22,SP,CLCC,68,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ22,SP,CLCC,78,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ22,SP,CLCC,94,XXX,BBB,BBB-CE01;BBB-CE02;BBB-CE04
M,J2,DKZIE,CODEZ22,SP,CLCC,94,XXX,DDDDD,DDDDD-CE01
M,J2,DKZIE,CODEZ22,SP,CLCC,94,XXX,DFDF,DFDF-CE02
M,J2,DKZIE,CODEZ22,SP,CLCC,8.5,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ22,SP,CLCC,111,XXX,BBB,BBB-CE01;BBB-CE02;BBB-CE04
M,J2,DKZIE,CODEZ22,SP,CLCC,111,XXX,DFDF,DFDF-CE02
M,J2,DKZIE,CODEZ22,SP,CLCC,120,XXX,DFDF,DFDF-CE01;DFDF-CE02
M,J2,DKZIE,CODEZ25,SP,CLAV,11,XXX,BBB,BBB-AE01
M,J2,DKZIE,CODEZ25,SP,CLAV,20,XXX,BBB,BBB-AE01
M,J2,DKZIE,CODEZ25,SP,CLAV,26,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ25,SP,CLAV,28,XXX,BBB,BBB-AE01
M,J2,DKZIE,CODEZ25,SP,CLAV,34,XXX,BBB,BBB-AE04
M,J2,DKZIE,CODEZ25,SP,CLAV,37,XXX,BBB,BBB-AE04
M,J2,DKZIE,CODEZ25,SP,CLAV,37,XXX,DDDDD,DDDDD-AE01
M,J2,DKZIE,CODEZ25,SP,CLAV,37,XXX,DFDF,DFDF-AE01;DFDF-AE02
M,J2,DKZIE,CODEZ25,SP,CLAV,60,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ25,SP,CLAV,63,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ25,SP,CLAV,68,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ25,SP,CLAV,78,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ25,SP,CLAV,94,XXX,BBB,BBB-AE01;BBB-AE02;BBB-AE04
M,J2,DKZIE,CODEZ25,SP,CLAV,94,XXX,DDDDD,DDDDD-AE01
M,J2,DKZIE,CODEZ25,SP,CLAV,94,XXX,DFDF,DFDF-AE02
M,J2,DKZIE,CODEZ25,SP,CLAV,8.5,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ25,SP,CLAV,111,XXX,BBB,BBB-AE04
M,J2,DKZIE,CODEZ25,SP,CLAV,111,XXX,DFDF,DFDF-AE02
M,J2,DKZIE,CODEZ25,SP,CLAV,120,XXX,DFDF,DFDF-AE01;DFDF-AE02
M,J2,DKZIE,CODEZ26,SP,CLAP,11,XXX,BBB,BBB-AE01
M,J2,DKZIE,CODEZ26,SP,CLAP,20,XXX,BBB,BBB-AE01
M,J2,DKZIE,CODEZ26,SP,CLAP,26,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ26,SP,CLAP,28,XXX,BBB,BBB-AE01
M,J2,DKZIE,CODEZ26,SP,CLAP,34,XXX,BBB,BBB-AE04
M,J2,DKZIE,CODEZ26,SP,CLAP,37,XXX,BBB,BBB-AE04
M,J2,DKZIE,CODEZ26,SP,CLAP,37,XXX,DDDDD,DDDDD-AE01
M,J2,DKZIE,CODEZ26,SP,CLAP,37,XXX,DFDF,DFDF-AE01;DFDF-AE02
M,J2,DKZIE,CODEZ26,SP,CLAP,60,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ26,SP,CLAP,63,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ26,SP,CLAP,68,XXX,BBB,BBB-AE01;BBB-AE02
